"Cuerpo","Calificacion"
"<div class='Normal'><strong>Story: </strong>Amy (Kunis), Carla (Hahn) and Kiki (Bell) each deal with their respective day-to-day responsibilities, commitments and the various stresses and strains that life throws their way. It all gets too much for them in time, and so, they decide to take charge of their lives again. And in doing so, they rediscover happiness and a sense of self-satisfaction.<br>
<br>
<strong>Review: </strong>Things may not be all peaches and cream for these three working mothers, but when they let go and decide do whatever (and whoever) they please, they really take it to the limit.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story:</strong> When Rebecca (Palmer) left home, she thought she left her childhood fears behind. While growing up, she was never really sure of what was and wasn’t real when the lights went out… And now her little brother, Martin (Bateman), is experiencing the same unexplained and terrifying events that had once tested her sanity and threatened her safety. A frightening entity with a mysterious attachment to their mother, Sophie (Bello), has reemerged. But this time, as Rebecca gets closer to unlocking the truth, there is no denying that all their lives are in danger… once the lights go out.<br>
<br>
<strong>Review:</strong> This film continues the new trend of horror films going away from the tried and tested found footage and haunted house tropes. What we have here is subtle, psychological horror that does not rely on jump scares but rather, horror with more finesse, if that can be said. Think about Babadook, a low budget Australian horror flick that is on every list of ‘best ofs’ in this genre.<br>
<br>
So, without giving away the plot, obviously, what we have on our hands is a brooding and doom-laden tale of a family in strife. A conflict-torn mother coping with a sense of loss, a son who is wise beyond his years (yes, shades of The Ring are also present) who is protective of his mother and everything shrouded in a grey, doom-laden cloak of colours.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story:</strong> The Federation is experiencing a new era of prosperity and inter-planetary peace and has even constructed a giant new Starbase, the Yorktown. While the lives of the crew of the enterprise have gone through a few changes on the personal front, a major upheaval awaits them when the Enterprise is sent on a potentially dangerous mission to a nearby nebula. They have to fight and defeat a ruthless alien who is bent on destroying the Federation.<br>
<br>
<strong>Review:</strong> While Star Trek Beyond is chock-full of relentless action sequences (the first one, barely ten minutes into the film) and breathtaking space scenes, Lin and the writers of this film have taken things beyond just making stuff blow up in a dramatic fashion. A big part of the original Star Trek’s charm lay in the way the characters got along and you’ll see that here too.<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
"<div class='Normal'><strong>Story: </strong>The furry, prehistoric gang find themselves in a new adventure this time around, when they find out to their horror that a giant meteor is set to hit Earth in just a matter of days. This of course, would put an end to life on the planet by causing mass extinction. And what caused the meteor to head to Earth was the sprightly and frantic Scrat who in the pursuit of his acorn, set off a chain of events that led to this. It’s up to Buck (Pegg), Diego (Leary), Sid (Leguizamo) and Manny (Romano) to save the planet and of course, themselves too.<br>
<br>
<strong>Review: </strong>To start with, there is the prologue involving Scrat (but of course as no Ice Age movie would be complete without him) and his desperate efforts to safeguard his food source. But then again, it’s like a never-ending effort as no matter how hard he tries, the nut only stays in his grasp for a few seconds. It’s a delight to watch him.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story:</strong> A terrier named Max (Louis C.K.) lives a comfortable life with his owner Katie (Kemper). His neighbourhood friends Chloe (Bell), Mel (Moynihan), Buddy (Buress) and Sweet Pea also are similarly spoiled by their owners. Things change one day, when Katie adopts the large and shaggy Duke (Stonestreet), much to Max’s dismay. Eager to take over the home, Duke leaves Max stranded in the city, Max is pursued by gangster cat Ozone (Steve Coogan) before being rescued by the bunny Snowball (Hart). Meanwhile, Gidget (Slate) leads a rescue party out to find Max. It’s all about what the pets are up to while their masters are away.
<br><br>

	<strong>Review:</strong> Created from the same animation film production company (Illumination Entertainment) that gave us Despicable Me, Pets is makes us privy to the adorable, mischievous and sprightly (in that order) activities of a bunch of animals whose owners are obviously and blissfully clueless about their shenanigans. Co-directors Chris and Yarrow introduce us to a slew of characters, well rendered and ranking high on the cuteness scale without coming across as saccharine sweet. In fact, it can easily be said that the best part about this fast-paced film is the quality of the animation.<br>
	<br>
	<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story:</strong> For some, he is a hero. For others, he is a reckless criminal. The film opens in 1862, set against the backdrop of Civil War. In turbulent times, a man stands up against callous Confederate soldiers.<br>
<br>
<strong>Review:</strong> Matthew McConaughey's Newton Knight is one controversial figure. But in this film, he remains singularly uni-dimensional. The scenario is superficial and jarringly too good to be true. But the spirited drama does its best to make amends by filling the plot with clap-traps (which can be called uplifting at places). The historical connect commands your interest for some time, but the clinical treatment of the plot can put you off. The film lacks a sense of drama and urgency, keeping the tone flat for its entire runtime.<br>
<br>
<div id='mvslider' style='display:none;'>movie","2.5"
"<div class='Normal'>
	<strong>Story:</strong> In 1884, King Leopold II takes control of Congo. When his kingdom nears bankruptcy, the ruler's best soldier Rom is sent on a mission to capture the natives. He and a local chief strike a deal - diamonds in exchange of Tarzan (the boy of their forest) who has moved in with his wife after marriage. Rom kidnaps Jane and Tarzan will go to any extent to bring her back.

	<br>
	<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story:</strong> There has been no conflict on earth for the past 20 years after the aliens last attempted to invade our planet and destroy mankind. The humans have now adopted the alien inspired technology to beef up their defence in space and on earth. However, a bunch of experts soon discover that another alien attack on a bigger scale is on its way. Can humans fight back once again?<br>
<br>
<strong>Review:</strong> A quintessential Roland Emmerich film, this disaster epic is a sequel to smash hit Independence Day (1996), that follows its predecessor's template diligently.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><strong>Story:</strong> Central Intelligence is a buddy cop movie that revolves around college bullies, true friendship and the CIA.<br>
<br>
<strong>Review: </strong>College friends Bob (Dwayne Johnson) and Calvin (Kevin Hart) reunite after a decade. Calvin is pleasantly surprised to see Bob in a new avatar. From an obese kid, who was the butt of jokes in high school to a muscled He-Man, Bob seems to have undergone a massive physical transformation. While women fancy him for his macho physique, even Calvin feels safe around him. They recall their college days, where Calvin was the popular guy and Bob, an outcast because of his excess weight. Calvin was Bob’s only friend. However, Calvin soon realises that there is more to Bob than meets the eye.<br>
<br>
<div id='mvslider' style='display:none;'>movie","2.5"
"<div class='Normal'><strong>Story: </strong>The Illusionists (four Horsemen) resurface to expose the unethical practices of a tech magnate but find themselves in a tough spot instead. Their cover is blown and intentions defamed. Caught on the wrong side of the law, they are on the run as the joke is on them. Who’s pulling the strings and why?<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><br>
<strong>Story:</strong> A sequel to Pixar’s Finding Nemo (2003), Finding Dory puts the spotlight on the kind and spirited blue tang fish called Dory, who suffers from short-term memory loss. Having lost its way, the film tracks her journey of finding her way back to her parents despite the odds, with the help of Nemo and Marlin.<br>
<br>
<strong>Review:</strong> A classic Pixar movie, Finding Dory is all heart. Baby Dory, with eyes that can melt your heart, drifts away from her parents when a current sucks her away. Over the years, she grows up as an orphan looking for someone to call her own. Lost and confused, she wanders around in the ocean looking for help. She stumbles upon Nemo, Marlin and a camouflaging Octopus, who join Dory’s journey. Can they help her reunite with her parents?<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
"<div class='Normal'><strong>Story:</strong> Seven years after the Amityville horror case, a single mother named Peggy in North London is terrorized similarly. She and four children live in a haunted house and a whey-faced nun wants their blood. Can demonologists Ed and Lorraine save them?<br>
<br>
<strong>Review:</strong> Fear quadruples at the mere thought that the events in the film has happened to real people. And that formula of the franchise works all over again. The generic - possessed-exorcism-redeemed concoction found a clever twist in the first film. Just like its predecessor, The Conjuring 2 is also about a demonic invasion that disrupts the life of an English family when Ed and Lorraine Warren are prompted by the Church to go to their rescue.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><strong>Story: </strong> The orcs (warrior beasts) in the hope of a new world, move to Azeroth. It is controlled by an evil wizard named Fel, who draws power from human soul. The wizard prompts his army of orcs to conquer more lands and get more human prisoners. Will there be an end to this havoc?<br>
<br>
<strong>Review:</strong> If the trailer of Warcraft gave you the faintest hope that the film will be a welcome break from Hollywood’s usual fare of uninspired screen adaptations of video games, by the climax you'll know it was all wishful thinking. The over-plotted narrative takes you through the troubled lives of orcs who are forced to wage a war against humans.<br>
<br>
<div id='mvslider' style='display:none;'>movie","2"
"<div class='Normal'><strong>Story</strong>: Louisa (Emilia Clarke) and Will (Sam Claflin ) are poles apart from each other. A bike accident leaves him tied to his wheelchair, coming to terms with his quadriplegic life. She lands the job of being his caretaker. Cupid plays its part but does this love story end in happily-ever-after?<br>
<br>
<strong>Review</strong>: Jojo Moyes’ tearjerker novel by the same name tells the touching love story of two unlikely people who make the emotional journey from being strangers to soulmates. It is one helluva sappy film but this ballad of love is surprisingly both effective and endearing. The plot is predictable but the striking warmth works as a saving grace. Of course, Lou and Will are meant to fall in love from the first time they meet but the writers don’t let it happen easy. A good part of the first hour is wasted on her boyfriend who must become an ex. You are bound to question why Lou is soft on him in the first place, considering they can barely hold a conversation with each other.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'> <strong>Story: </strong>Ninja Turtles Donatello, Raphael, Michelangelo and Leonard continue to wage their discreet battle against the perpetrators of crime in New York. Their nemesis Shredder makes a re-entry into their lives and hires a genius scientist to create his own army of mutants. In his tryst to become all-powerful, Shredder befriends the dangerous alien Krang, who has a war machine that can destroy the planet. Can the Ninja Turtles save the world from this calamity?
<br><br>

	<strong>Review: </strong>Well, unlike the insipid earlier edition, there is a genuine effort to create a coherent story this time around. To say that this one is notches above its dull predecessor on every count is not overplaying the praise. There is a marked improvement in the writing, even if it isn't consistent. You can't miss the fact that the screenplay's focus remains on the titular characters and their pathos, despite the constant tug to orchestrate lofty action pieces. The Ninja Turtles stand out as individual characters with distinct personalities, each of whom have their own share of pain to deal with. Their inferiority complex and desire to be acknowledged helps play the emotional card with great subtlety. 

	<br>
	<div id='mvslider' style='display:none;'>movie","2.5"
"<div class='Normal'><strong>STORY:</strong> Set in 1970s LA, private detectives Holland March (Ryan Gosling) and Jackson Healy (Russell Crowe) stumble upon a deadly conspiracy, while investigating the case of porn star Misty Mountains (Murielle Telio), who supposedly dies in a strange car crash. Her grandma refuses to believe that Misty is dead as she claims to have spotted her after the shocking incident. In order to decode the mystery, these oddball detectives with limited set of skills, must find their only lead, a girl called Amelia (Margaret Qualley), who’s on the loose.<br>
<br>
<strong>REVIEW:</strong> Reminiscent of the Coen Brothers, Shane Black’s The Nice Guys is a twisted concoction of genres. It’s a neo-noir mystery cum buddy cop action comedy that startles you with its unpredictable crime plot laced with deadpan humour. Black turns his dashing duo into clumsy buffoons, who seem to be anything but ‘nice’. These are two people, who are not meant to be together, but it’s their skills - Healy’s punches and March’s analytical bent of mind – that draws them closer. While the leading duo (Gosling in particular), owns the film, it’s the quirky writing that sets it apart. Neither the characters, nor the sequences set out to be funny; they just end up being one.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story:</strong> Alice Kingsleigh (Mia Wasikowska) returns to the Underland through a giant mirror. After reuniting with the madcap characters (White Rabbit, Cheshire Cat, and of course the Mad Hatter, to name a few) she learns that in order to recuperate an ailing Hatter (Johnny Depp), she must travel back in time to save his family. But the past cannot be changed.<br>
<br>
<strong>Review:</strong> Though the sequel to Tim Burton's Alice in Wonderland (2010) is visually stunning, it lacks the quirky gothic twist that Burton lent to the franchise. His unique imagination and live-action take on Lewis Carroll's children's classic put it on a pedestal.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story:</strong> 'Red' (Jason Sudeikis) is a grumpy, rude loner — Imagine Jack Nicholson of ‘As Good As It Gets’ being reincarnated as a bird. Having no one to call his own, Red vents his anger on fellow flightless birds and goes around dissing the world. But he is not a rebel without a cause. Can the not-so-nice 'Mr Eyebrows' turn things around and earn the respect and admiration of the bird island?<br>
<br>
<strong>Review: </strong>Tired of his arrogance and asocial behaviour, the village head penalises him to take anger management sessions, but to no avail. When a bunch of pigs treacherously invade the bird island in the garb of extending friendship, Red sees through their mean intentions. It also gives him an opportunity to save his island from the conniving pigs and make amends with his community.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><strong>Story: </strong>After sleeping for nearly a millennium, the world's first mutant Apocalypse (Oscar Isaac) comes back to life. He is utterly displeased with the turn of events over the last few centuries. Since he can change bodies and imbibe fresh powers, he decides to take things in his hands. As he builds his army of four horsemen, Professor Xavier (James McAvoy) and his students are faced with the cumbersome task of stopping the evil force that will end the world as they know it.<br>
<br>
<strong>Review: </strong>At one point in the film, four of Xavier's students watch Return Of The Jedi and one of them quips, 'Well, we can all agree that the third one is always the worst.' Presumably, it was a word of caution for this film.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><strong>Story:</strong> Jericho Stewart (Costner) is a death row inmate who is the subject of a CIA mind-transplant experiment. Under the watchful eye of Quaker Wells (Oldman) and the genius Dr Franks (Jones), the memories and personality of a deceased CIA operative is transplanted into the mind of Stewart. What results is a curious mix of CIA agent-meets-street thug. But in doing so, will the original experiment – that of foiling a plot to create a wormhole program that would allow a programmer to bypass all computer codes protecting the world's nuclear defense codes – be successful?<br>
<br>
<strong>Review:</strong> It is worth noting that Costner, Oldman and Jones have teamed up for the second time since 1991’s JFK. But while that movie involved an intricate web of intrigue and investigation, this one seeks to go into a brand new direction. Ambitious, not a doubt, for it is quite interesting and often amusing to see an old lug like Kevin Costner wrestle with what is essentially a split personality that he has been somewhat forcefully subjected to.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><strong>Story:</strong> A hotshot TV news host by the name of Lee Gates (Clooney) has his show taken over by an individual named Kyle (O’Connell) who holds Gates hostage with a suicide vest during a prime-time broadcast. Kyle’s grouse is about a fraudulent call Gates made about the stock markets which caused him to lose $60,000 and a whole lot of other people who also saw $800 million go down the sink. Bigger issues are at stake though. Kyle is the voice of the 99%<br>
<br>
<strong>Review: </strong>Jodie Foster has crafted a careful and wary indictment of capitalism that seems a few years dated here. Sure, the 1% versus the 99% is as relevant as now as it was ever before. But to what point? The dramatic tension created by Gates and O’Connell’s Kyle is more reminiscent of 2002’s Phone Booth.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><strong>Story:</strong> Pele: Birth of a Legend is a fairly comprehensive and stirring story about a personality in football who needs no introduction whatsoever. His meteoric rise to fame and the playing style he popularized originated in the slums of Sao Paulo, where even grinding poverty couldn’t keep him from his passion. This is his story.<br>
<br>
<strong>Review:</strong> Right from the outset, this film goes for the mainline in terms of making an emotional connection with the audience. A lot of time is devoted to depicting Pele’s childhood (born Edson Arantes Do Nascimento and nicknamed Dico by his parents, he is in the film played by Carvalho and de Paula at various stages of his youth) and his passion for the game. Indeed, he was so poor that even purchasing a football was out of his financial reach. But that would not stop him from realizing his dream. Indeed, after Brazil’s devastating loss in the 1950 World Cup final, a saddened nine-year-old Dico makes the bold and unlikely promise to his father that someday he will go on to win a World Cup for Brazil.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story:</strong> The Greeks are back, many years after the first installment of this movie, which was a surprise hit, engaging viewers with its sweetness and innocence. Here, Toula’s (Vardalos) father Gus (Constantine) discovers that he and his wife Maria (Kazan) have some marriage paperwork issues, and so he decides that they should set matrimony matters right and get married again, 50 years after they supposedly got together.<br>
<br>
<strong>Review:</strong> Watching this film is like time travelling back into the past – 14 years to be precise. For one, you might wonder why there was such a long gap in between films and secondly, you might find yourself wondering just what the reason was for this film to be made at all.<br>
<br>
<div id='mvslider' style='display:none;'>movie","2.5"
"<div class='Normal'><strong>Story:</strong> Tony Stark (Downey Jr.) and Steve Rogers have a difference of opinion over the Sokovia Accords, created by the United Nations, that seeks to create a governing body for the Avengers. Stark is in favour while Rogers prefers them to be free to act on their own instincts and thoughts. A series of events involving a multitude of superheroes from the Marvel Universe, intrigue and different kinds of motivation, leads to a clash between Iron Man and Captain America, among others.<br>
<br>
<strong>Review: </strong>Without giving away anything that might spoil this treat for Marvel and superhero fans, let’s just say that Captain America: Civil War is essentially like a battle royale between superheroes like you’ve never seen before. And in a way that doesn’t bludgeon your senses into numb submission, like some other superhero films we’ve seen of late.<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
"<div class='Normal'><strong>Story:</strong> A young woman has a car accident as she is driving through the countryside. She survives, but is injured. She is then abducted by a man and held captive in an underground shelter. He tells her that she isn’t a prisoner, but he's only protecting her from a doomsday situation that has wiped out the human race.<br>
<br>
<strong>Review:</strong> Have a look at the production credits of this film. You’ll spot the name J. J. Abrams. An extremely astute and intelligent director who has a penchant for both mega-buck blockbusters (Star Trek, Star Wars: The Force Awakens, Mission: Impossible III) as well as flicks with relatively smaller budgets (Super 8, co-produced by Steven Spielberg) but still pack a hefty punch in terms of cerebral cool. Combined with Trachtenberg, who helms this one, they’ve created a film that is delightfully unpredictable and extremely original.<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
"<div class='Normal'><strong>Story:</strong> Srinivasa Ramanujan had the extraordinary ability to conjure up very complex and groundbreaking mathematical concepts seemingly out of thin air. And all of that, despite not having any formal training in the subject. He hailed from a humble background, and was nurtured and mentored to greatness by another brilliant mathematician, G H Hardy. This is Ramanujan’s story.<br>
<br>
<strong>Review:</strong> The biggest challenge Matthew Brown could have faced when making this film might have been making math look interesting enough on screen to keep viewers hooked. But he manages to do so, thanks to Patel’s fairly straightforward portrayal of the brilliant Ramanujan. That, and the stately Jeremy Irons, who gives Hardy oodles of wit and panache. In fact, more than just a staid version one man’s life, The Man Who Knew Infinity is also about the meeting of two minds – Hardy and Ramanujan.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story:</strong> Mother’s Day sees a small group of unconnected people try to mend relationships with their respective mothers and daughters. Sandy (Anniston) tries to be a better mom to her kids after her divorce from Henry (Olyphant). Successful writer Miranda (Roberts) is estranged from her daughter Kristin (Robertson). And free-spirited Jesse (Hudson) tries to reconnect with her own mother.<br>
<br>
<strong>Review:</strong> It’s a bit surprising to see a director like Garry Marshall, who has a resume that dates way back to the 60s, now immerse himself in this kind of confection (literally, for the number of doughnuts, desserts and M&M candy references you’ll see in this movie), which strives to make you sentimental about your mother, with an overloaded cast of characters, for two hours.<br>
<br>
<div id='mvslider' style='display:none;'>movie","2"
"<div class='Normal'><strong>Story: </strong>In this prequel to Snow White & The Huntsman, sisters Queen Ravenna (Theron) and Queen Freya (Blunt) are both rivals with powers and ambitions of their own. Before they face each other off though, Freya must deal with two renegade warriors of hers, Eric the Huntsman (Hemsworth) and Sara (Chastain) who have fallen in love with each other.<br>
<br>
<strong>Review:</strong> A combination of Hemsworth, Theron and Chastain would seem like a fairly powerful cast line-up. But in this case, their collective talents seem to be a tad squandered on something that parades as great visual candy (read: costumes and scenery) some special effects (but of course, as a film like this would ride on that) but not very much else.<br>
<br>
<div id='mvslider' style='display:none;'>movie","2.5"
"<div class='Normal'><strong>Story:</strong> Jessie (Bosworth), Mark (Jane) and their little boy Sean made for a happy family until their son dies in a tragic accident at home. The couple then adopts a new foster child, Cody (Tremblay), in an attempt to rebuild their lives. However, their foster kid harbours a terrible and sinister secret that mixes the psychological with the supernatural. Cody's dreams manifest into reality. And this can be both a good and a bad thing. Both good dreams and bad have their effect in equal measure.<br>
<br>
<strong>Review:</strong> Before I Wake has an incredible premise, full of promise and grist for the horror fan to chew on. Think of it – a kid whose dreams become reality much to the betterment or detriment of those around him. And that could mean absolutely any dream. Be it about butterflies (an oft-repeated motif in the film) or a ghoul that looks like he escaped from the reality-horror videogame Dead Space 2.<br>
<br>
<div id='mvslider' style='display:none;'>movie","2"
"<div class='Normal'><strong>Story:</strong> An investment banker named Davis Mitchell (Gyllenhaal) has everything one in his field might hope to have. Success, a home that’s picture perfect and the trophy wife. In a twist of fate, she passes away in a tragic accident and in the aftermath, Davis loses it. He pens a bizarre complaint letter to a vending machine company, for instance. But amidst all the mess, a sliver of salvation begins to bloom for him, when he forms an unlikely connection with Karen (Watts), a customer service agent. But in order to progress, he must first demolish all edifices of the past.<br>
<br>
<strong>Review:</strong> Jake Gyllenhaal seems to have a penchant for playing characters that are damaged, yet wily and with a strong sense of self-assurance. Nightcrawler was a prime example of that and now, to a lesser extent, Demolition sees him stepping into the quirky role of Davis’ character. And what a character he is. Intense, yet not without a sense of self-irony and humour, bordering on parody.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
