"Cuerpo","Calificacion","Etiqueta"
"<div class='Normal'><strong>STORY: </strong>While the film essentially revolves around a dog reincarnation and he trying to realise his purpose in subsequent births, the story has a larger message. Good people don’t have to finish last and those who love you will always ensure that you aren’t lonely.<br><br><strong>REVIEW: </strong>Sequel to W. Bruce Cameron’s 2010 novel A Dog’s Purpose, this film too follows a dog named Bailey and his journey through several lives via reincarnation and how he chases his purpose through each of his lives. <br><br>It all begins with Bailey aka the big boss as his loving owner Ethan (Dennis Quaid) calls him, and he observing his family fall apart. When Bailey is finally put to sleep, Ethan hopes that he’d return to look after CJ, his granddaughter, just the way he has looked after him. After Bailey is reborn as Max, Molly and more, he keeps looking for CJ and ways to make her happy as Ethan had asked him to. <br><br>A dog’s journey has some heartwarming moments exuding unconditional love and loyalty as expected. Dog lovers in particular will need to carry tissues as this one’s a total tearjerker for them. However, the film ceases to go beyond the sentimental cliches. As seen through the eyes of a dog, as he narrates the story, beyond a point, it all gets repetitive and thus exhausting. <br><br>As the dog keeps reliving his purpose, you lose a sense of wonder and are prepared for what to expect. Be it a love confession, terminal illness, suspected death, reunion or happy every after — you sniff it from a mile. <br><br>The performances though are truly endearing. In times of social media cynicism, Dennis Quaid, Henry Lau and Kathryn Prescott show you what it feels like to love and be loved in return. <br><br>Given the nature of the film, if you are fine with mushy love stories that play on a loop, you won’t mind embarking on this journey. However, unlike Marley & Me, this one’s a bit predictable and thus falls short of tugging at your heart strings.<br>","3.0","Positivo"
"<div class='Normal'><strong>John Wick: Chapter 3 - Parabellum Story: </strong>John Wick (Keanu Reeves) becomes the target of assasins around the globe after a bounty of $14 million is placed on his head.<br> <br> <strong>John Wick: Chapter 3 - Parabellum Review: </strong>In the third instalment of the 'John Wick' series, the famed assassin is declared 'excommunicado' after breaking the code of the High Table in the Continental lounge. Now on the run with a price tag of 14 million dollars, John Wick (Keanu Reeves) must fend for himself yet again, as all the assassins and hit men/women in the world are gunning for him. The ‘John Wick’ series continues to expand on the universe it established in the previous two films by introducing a whole new set of characters along with some returning vital players. <br><br> Ian McShane & Lance Reddick reprise their roles as Winston & Charon respectively, with the latter doing a lot more than merely serving guests at the concierge. Watch out for Silat masters Cecep Arif Rahman & Yayan Ruhian in arguably one of the most stunning pieces of fight choreography seen in this series so far, and that’s an extremely high bar to meet. Mark Dacascos is more than capable of going toe-to-toe with the best martial artists. He lends so much charisma to Zero that he often ends up being a scene-stealer while gracing the film with yet another breathless and nail-biting sequence. Asia Kate Dillon is menacing as the Adjudicator of the High Table and makes her presence felt. But the real MVP amongst all the new characters is Halle Berry as Sofia, a dog-loving assassin and John’s old friend. It’s safe to say her hounds redeem the death of the puppy which started this whole series, much to the delight of canine-lovers.<br><br> Driven by the notion of rules and consequences, the plot is standard and straightforward, so don’t expect anything more profound than what you see. But ‘Parabellum’ more than makes up for what it lacks in depth, with stunning visuals and captivating action. There’s little sense to the proceedings, and yet, you’ll be so utterly gobsmacked by the beauty in destruction, that logic won’t matter. Keanu Reeves puts in the hard work to allow for long takes and steady camerawork to make each dynamic movement register with impact. Helmed by director Chad Stahelski again after ‘John Wick 2’, ‘Parabellum’ plays to the actor’s strengths, allowing him to do what he does best. If the makers maintain this level of masterful execution, Keanu Reeves can continue to play this violent & virtually indestructible killing machine, and action lovers will gladly lap it up till the end of time. ‘Parabellum’ is an essential entry to this series and one that cannot be missed.<br>","4.0","Positivo"
"<div class='Normal'><b>STORY:</b> A young couple (Michael Ealy and Meagan Good) seeking peace and quiet, moves into a beautiful countryside house in Napa valley. But their hopes to start a family in their dream home are invaded by the constant presence of their shadowy homeowner (Dennis Quaid) with severe boundary issues.<br><br> <b>REVIEW:</b> What happens when there are more rooms in the house than people? That is the question many Hollywood films of this genre have answered before. Director Deon Taylor’s ‘The Intruder’ follows a similar route with a very limited number of characters, but at least, one of whom will stay with you much after the film is over. And no points for guessing, it is the intruder himself – Dennis Quaid, who single-handedly lifts this otherwise predictable and mediocre film into a scare fest. Quaid is so believably unplugged in his portrayal of the man obsessed with his home that he makes you forgive the many clichés. Of course, he enjoys the best writing amongst the cast, with shades that are evident from the start, but unravel slowly and mystifyingly. Quaid’s measured expressions and fit body compliment his character’s visceral traits that help him pull off a delightfully menacing act.<br><br> In contrast, Meagan Good’s character comes off as a bit of a stretch, unaware of the looming threat despite such telltale signs. Good is a good actor (pun intended), but despite her best efforts, the character never seems very convincing. Micheal Ealy, on the other hand, gets a reasonably decent arc to follow. That of a husband, who goes the extra mile to ensure his wife is happy, even if it means doing things that go against his basic instincts. Writer David Loughery keeps the proceedings paced out with regular shout-at-the-screen scares, but it’s the predictability of the plot that often kills the fun. Thankfully, the makers have tried some new hacks in execution that somehow build tension. However, what eventually goes against ‘The Intruder’ are the clichés and lack of any substantial build up to the characters and their back stories. There are cursory references, but the director never shows any genuine interest in exploring them. Consequently, the viewer is often left wondering with a few nagging questions about the characters and their behaviour. Since the plot itself moves on probable lines, it does feel a bit dragged.<br><br> If you’re a fan of the genre, you would have seen better and far worse than ‘The Intruder’. It falls somewhere in the middle, letting you enjoy the scares without explicit blood and gore, but also showing you what you might already know.<br>","3.0","Positivo"
"<div class='Normal'><strong>Pokémon Detective Pikachu Story: </strong>When Tim Goodman (Justice Smith) comes across a Pokémon he can understand, he realises he needs to work with it to help him find his missing father in Ryme City.<br><br><strong>Pokémon Detective Pikachu Review:</strong> In a world where Pokémon live in the wild, Tim Goodman (Justice Smith) struggles to find his purpose. When his estranged, detective father goes missing under mysterious circumstances, he ventures into Ryme City in search of him. But the city isn’t any sprawling metropolis; it’s the only place where humans and Pokémon have learned to peacefully co-exist. That’s when he encounters Pikachu. Tim's ability to understand the wise-cracking little Pokémon leads them to work together in search of Tim’s father, Harry. Tim and Pikachu begin to uncover the strange world of Pokémon and the larger scheme at play in Ryme City.<br><br>The absurd, yet adorable set of live-action characters from the anime Pokémon universe took the gaming world by storm in the mid-90s. The massive success of the games lead to expansions into TV series, comic books and animated films, so it shouldn’t come to anyone’s surprise that it’s the latest attempt by a film studio to convert the franchise into a movie universe. It’s a pretty bold move by Warner Bros. to introduce us to such a ridiculous premise, but the risk pays off. Chalk it down mostly to the endearing title character Pikachu, played by the actor at his irreverent best – Ryan Reynolds. He infuses the tiny, yellow, rodent-like creature with a distinct personality that instantly draws you into the film. The best scenes involve Pikachu bringing in Reynolds’ trademark impromptu humour and witty dialogue with both his Pokémon counterparts & humans. <br><br>This helps keep the film’s charming energy afloat, mainly because most of the human roles are quite bland. It’s no fault of the cast; Justice Smith is pretty good as Tim Goodman, but we don’t feel as much for his quest even though it is integral to the plot. The same can easily be said about the rest of the humans. Fortunately, the world of Ryme City is so well realised as a place that captures your imagination, making you wish it existed. The production design and visual effects are virtually seamless, and never take you out of the film, which is a massive advantage. Whether that’s enough to distract you from a clumsy plot and screenplay, depends on how much of a fan you are of the franchise. But Reynolds and director Rob Letterman manage to keep you entertained enough in this fun popcorn film, and might just be enough to convert young non-fans into Pokémon trainers.<br>","3.5","Positivo"
"<div class='Normal'><p><strong>STORY:</strong> Bella (voiced by Bryce Dallas Howard), a female dog, travels four hundred miles to return to her owner.</p><p><strong>REVIEW:</strong> Bella is rescued as a puppy by Lucas (Jonah Hauer-King) from under a run-down house. Lucas adopts her to give her a safe home, as the two forge a strong, loving bond. But Bella’s happy life doesn’t last long when an animal control agent deems her illegal to live in Denver, as pit-bulls are forbidden there. Bella is relocated 400 miles away from Lucas, to live with the uncle and aunt of his girlfriend Olivia (Alexandra Shipp). However, Bella escapes from there to begin an adventurous journey back home to Lucas.</p><p>A majority of the acting, as it were, is left up to the voice work by Bryce Dallas Howard, who carries most of the film by herself. It’s easy to forget the person behind Bella’s vocal performance because Dallas Howard makes Bella incredibly endearing while capturing the inner thoughts of a pet dog. Thus, we’re swept away by Bella’s world view as she manoeuvres her way around the challenges of the wild, and the people she encounters. The dog playing the adult version of Bella is a scene-stealer who will charm her way into every canine lover’s heart. The human actors are less impressive. The main character Lucas played by Jonah Hauer-King has the chocolate boy look intact but brings little else of note. The bond between Bella and him is solidified primarily by the canine, and it’s often hard to grasp Lucas’ connection to his beloved pet. While this can be overlooked, it dampens the emotional impact at times. In fact, his girlfriend Olivia comes across far more invested in Bella with Alexandra Shipp’s performance. Meanwhile, watch out for Wes Studi and Edward James Olmos in small but impactful roles.</p><p>The plot is predictable – it’s spelt out in the title, but the screenplay throws some curveballs along the way to ensure all the clichés don’t get too overbearing. Despite the apparent premise, the film embraces what it is – a wholesome family movie that doesn’t pretend to be anything else. Director Charles Martin Smith manages to create a heart-warming, feel-good film catering to animal lovers.</p>","3.5","Positivo"
"<div class='Normal'><b>UglyDolls Story: </b>In the adorably different town of Uglyville, weird is celebrated, strange is special and beauty is embraced as more than simply meets the eye.<br><br> <b>UglyDolls Review: </b>Millions of dolls are manufactured every year for kids to play. But what happens to those that are less than perfect? The ones who aren’t perfect enough to hit the stores because of their irregularities go to Uglyville where all the rejected dolls are sent to live. One plucky doll named Moxy, played by Kelly Clarkson, believes that she will get chosen to be someone’s doll eventually. She convinces her friends to join her in search of the big world, but instead, they come across the Institute for Perfection where dolls go through a series of tests to be paired with the right child. <br><br> Although its core idea is that we should accept one another despite our differences, ‘UglyDolls’ squanders this timeless lesson and reduces it to a film that doesn’t know how to engage with its audience. Breaking into song at every occasion it gets to maximise the talents of its voice cast is the logical approach, but the tracks are neither well written nor composed to make them memorable. They end up becoming a drag, and it doesn’t help that the rest of the plot isn’t exactly innovative either. Add voice acting that’s uninspired with almost every actor seemingly phoning in their lines. In this sea of weak performances, Janelle Monae makes a genuine attempt to make her character Mandy stand out, but her role is relatively small to make a significant difference. <br><br> To make matters worse, the animation and character design are both less than stellar. Although the ‘ugly dolls’ are made to look endearing enough, the ‘perfect’ dolls come across as poorly rendered video game ripoffs. The environment designs aren’t memorable despite the limited areas the film is set in. The biggest blunder is the film’s screenplay that goes all over the place as it’s unable to keep its target audience in focus – it veers between catering to kids and then to adolescents, with its group dynamics, and the constant peer pressure to look a certain way. Sadly, this ends up being – and there’s no joy in making this pun – an ugly mess.<br><br><br><br>","2.0","Negativo"
"<div class='Normal'><strong>STORY: '</strong>After' is based on Anna Todd’s best-selling novel with the same name. It’s the story of Tessa Young (Josephine Langford), who meets her fellow classmate - the brooding and mysterious Hardin Scott (Hero Fiennes Tiffin) and sparks begin to fly. They are the perfect opposites, but do they have what it takes to be one, against all odds?<br><br> <strong>REVIEW: </strong>For Hardin Scott, “Nice is just another word for boring.” He has an enigmatic charm and there’s an air of uncertainty in his cryptic behavior. That is perhaps an irresistible combination in a young lad, who is also conventionally good looking. Throw in a girl-next-door with textbook good behaviour and an ambition to make her mother proud. When these two meet in a film, the audience knows what to expect. Ideally, that would take away the surprise element, but it’s the writing of these characters that keep you invested.<br><br> Tiffin is in the best form portraying the unpredictability of Hardin in measured tones. It’s easy to root for him even when he’s not doing the right thing. He also gets some really cool lines that add to the curiosity around his character. Josephine Langford successfully brings the vulnerability of Tessa to fore. Her performance is honest and understated that portrays her hunger for new experiences. Selma Blair as Tessa’s mother performs well in her limited screen time. But the rest of the cast has too many clichés. College teens sporting tattoos and nose piercings, a spiteful and vamp-ish fellow student with pigtails and a constant smirk, girl’s supportive friend in college, who is dark skinned. Wonder why? There are also American stereotypes like the dysfunctional families, daddy issues and single parents.<br><br> But none of that hampers the film’s strong emotional texture. Writers Susan McMartin and Tamara Chestna weave in the intense romance between Tessa and Hardin in a conventional yet mystical way that builds interest.<br><br> There are not many twists and the narrative is simple. However, it hoodwinks you into feeling that something really unusual will happen - whether or not it does, is for you to find out. Sex scenes are aplenty but none of them over-the-top. They are aesthetically executed and remain complimentary to the storytelling. Director Jenny Gage handles those scenes with finesse, never letting her young, good looking actors lose their next-door image. This helps the audience stay connected with the characters and feel for them. The pace is slow, but consistent with moments that will stay with you. Soundtrack packs quite a punch into this intense college romance.<br><br> ‘After’ is as formulaic as it is ambitious for young lovers who seek exciting first experiences. It has love, lust and heartbreak in equal measure.<br>","3.0","Positivo"
"<div class='Normal'><b>STORY:</b> ‘Avengers: Endgame’ continues from its previous instalment ‘Avengers: Infinity War’, where a chain of catastrophic events destroyed half the universe. The remaining Avengers now come together for one final time to reverse the actions of the evil Thanos and restore the order of the universe. But will they succeed?<br><br> <b>REVIEW:</b> Overwhelming. It best describes the final chapter that culminates Marvel Cinematic Universe’s 21 iconic films into one. And that also describes the experience of watching your favourite superheroes come together for a singular goal, for one last time. Directors Anthony and Joe Russo ensure that the humongous build-up and the avalanche of expectations do not get the better of them. They deliver a largely wholesome product that is full of moments laced with action, emotion, comedy and drama. Writers Christopher Markus and Stephen McFeely take you along, even if you haven’t been following the franchise. They do an incredible job with the screenplay to balance emotions with visual spectacle. So if you’re not a fan yet, chances are, you might become one after watching this instalment.<br><br> While the screen time for each character is not equal, their significance in the story is. And there are enough surprises in store, as far as their fates are concerned. ‘Endgame’ delivers quite well on the emotional quotient, bringing out superpowers and vulnerabilities of its cinematic demigods through their measured performances. From an upright Captain America (Chris Evans) to a stoic Black Widow (Scarlett Johansson) and from a straight-faced Captain Marvel (Brie Larson) delivering the punches to the reassuring presence of Iron Man (Robert Downey Jr.), ‘Endgame’ has it all and a lot more. Thanks to the conviction in performances, you also might just find yourself rooting for the bad guy, Thanos (Josh Brolin) at some point. However, it’s the comic collective of Thor (Chris Hemsworth), Hulk (Mark Ruffalo) and Ant Man (Paul Rudd) that ensures there are enough lighter moments in this otherwise heartfelt finale.<br><br> The action becomes progressively intense, but never overbearing. In fact, it remains relevant and true to the narrative, such that it weaves in enough opportunities for major plot twists that even the diehard fans may not see coming. The extensive CGI work adds to the visual appeal, even in 2D.<br><br> For the non-fans, the film’s explanatory tone might come across as a speed breaker at times, but for the fans, the same invokes hope and excitement, leading to constant gasps and howls.<br><br> Overall, 'Avengers: Endgame' is a befitting tribute to the Cinematic Universe that has spawned larger-than-life superheroes and super fans. At three hours plus, ‘Endgame’ delivers on a lot of its hallmark promises, leaving its fans with a range of emotions and fond memories.<br><br>Also See: <a href='https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/avengers-endgame-marvel-fans-call-it-a-masterpiece-and-a-rollercoaster-of-emotions/articleshow/69052442.cms' data-type='tilCustomLink'>'Avengers: Endgame': Marvel fans call it a masterpiece and a rollercoaster of emotions</a><br>","4.5","Positivo"
"<div class='Normal'><strong>The Curse Of The Weeping Woman Story: </strong>Set in 70's L.A., a female spirit searches for children and takes them as her own.<br><span class='redactor-invisible-space'><strong><br>The Curse Of The Weeping Woman Review: </strong>Anna Garcia (Linda Cardellini) is a social worker raising her two children Samantha (Jaynee-Lynne Kinchen) and Chris (Roman Christou) as a single parent because her husband was killed on duty as a police officer. Anna is investigating a case involving Patricia Alvarez (Patricia Velasquez) when she comes across a supernatural element which begins to haunt her family. As she seeks help, she comes across a faith healer Rafael Olvera (Raymond Cruz). Rafael and Anna now must defend her kids from the wrath of La Llorona. </span><br><br> Here’s an interesting concept, because it plays on the innate fear every parent has – the fear of losing their kids. Linda Cardellini channelises this in Anna’s determination to protect her kids. Raymond Cruz is also quite effective as Rafael, a faith healer who used to be a priest. He’s tasked with a lot of the spell casting and chanting; not only does he do that with conviction, but he also brings some much-needed humour into the script, and he has his moments. Patricia Velasquez as Patricia Alvarez has a significant role to play, and she’s also adept at playing a mentally disturbed woman. The evil spirit itself - La Llorona, the weeping woman, played by Marisol Ramirez has a spooky appearance and intimidating presence when she’s on screen.<br> <br> But that effect wears off pretty quickly because this is a horror film, and it makes sure to keep reminding you with all its screeching and creaking sound design, often resorting to the predictable jump scare treatment. What makes it even more frustrating is that the exposition is on the nose, because it must explain the backstory of the Weeping Woman. This is done in such an obvious way that makes the film drag between the scary scenes. With that, all the potential from this film goes flying out of the window, and you’re left with yet another horror film. The actors try to work their best with the shoddy material, but it’s not quite enough. Those who get scared easily will get spooked anyway; those who want more from their horror films will be left craving for that.<br><br><br><br><br>","3.0","Positivo"
"<div class='Normal'><strong>Hellboy Story:</strong> When an ancient sorceress wants to take down the world, our only hope is a warrior demon from the depths of hell itself.<br><strong>Hellboy Review: </strong>Hellboy (David Harbour) is raised by his adoptive father Professor Broom (Ian McShane) to work alongside humans in the Bureau for Paranormal Research (BRPD) – an organisation that protects people from otherworldly forces who threaten the planet. Hellboy’s supernatural abilities are put to the test when the Blood Queen (Milla Jovovich) is raised from the undead, in a bid to take revenge on humans who tried to destroy her ages ago. Neil Marshall’s reboot of Guillermo Del Toro’s two films based on this comic-book universe aims to set itself apart with a distinctly gory, and expletive-laden tone. Marshall understands how to stage large scale action set pieces, and there are a couple of sequences that are disturbing, yet hilarious. But there’s little else of note. <br><br> Milla Jovovich as the villain is bad, and not in a cheesy yet enjoyable manner. She struggles to convey the required sense of menace; her dialogue delivery fluctuates between wooden and comical. It also doesn’t help that the Blood Queen is a weak antagonist who holds a lot of promise but doesn’t quite bring it eventually. Meanwhile, David Harbour is perfectly cast as the lead character. Hellboy is mighty while being snappy with oodles of wit, and Harbour nails down his devilishly fun persona. Ian McShane also attempts to add some pathos to the distorted father-son relationship Professor Broom shares with Hellboy.<br><br> Sadly, as soon as you begin to appreciate these sub-plots, the next action sequence is thrown at us. The tonality is wildly uneven which isn’t helped as outrageous characters enter the narrative with little context, and often exit quickly as well. If Marshall’s mere intent was to shock you with excessive gore and expletives, then he manages to do that. It isn’t quite enough, especially if you leave the theatre confused about what just happened, due to a ludicrous plot. Despite McShane and Harbour’s best efforts, this exhaustive ‘end-of-the-world’ story is unable to raise as much hell as it should.<br>","2.5","Negativo"
"<div class='Normal'><strong>Pet Sematary Story: </strong>Dr Louis Creed (Jason Clarke) and his family relocate from Boston to Maine. They discover a burial ground on their property which has strange abilities.<br><br><strong>Pet Sematary Review: </strong>Dr Louis Creed moves into a new home, along with his wife Rachel (Amy Seimetz), their two young kids Ellie (Jeté Laurence), and Gage (Hugo and Lucas Lavoie) with their cat, Church, in tow. Ellie wanders around the property when she comes across a burial ground that reads ‘Pet Sematary’. After Rachel finds Ellie, their neighbour Jud Crandall (John Lithgow) warns them not to stray too far from home as the woods aren’t safe. The Creed family soon discovers why this warning is not to be taken lightly. Those familiar with the 1989 version will be caught unaware by the changes made for this remake, although it would be best advised to avoid all the official trailers to maintain an element of surprise. <br><br> In this new adaptation of Stephen King’s novel, directors Kevin Kölsch & Dennis Widmeyer spin a fresh perspective, which has the potential to be far more impactful. After all, this harrowing tale is about the grieving process and how different people deal with the death of their loved ones. Sadly, this narrative is not explored to its full potential, as the directors often choose to focus on audio-visual elements for the sake of scares instead. This nullifies strong performances by the consistently brilliant John Lithgow as Jud, and Jeté Laurence’s standout turn as Ellie. Both Jason Clarke and Amy Seimetz are effective playing parents grasping at straws to keep their family intact. There’s a backstory setting up an intriguing angle that promises to work well with the overall theme, but is squandered as not enough time is spent on character development. <br><br> The twists wear thin as the film rushes to the finish line, by not allowing the weight of harrowing events to land as hard as they should, despite the tragedies hitting hard. In fact, this is a film that could afford a few more scenes for the terror to dig deeper within your psyche as it draws up some of your own demons. While the audience is spooked at regular intervals thanks to the compelling atmosphere and unsettling sound design, the cumulative effect starts to wear off eventually. Yet, the very nature of this story is disturbing enough to compel you to see it through, helped by its taut run-time, and one terrifying cat!<br><br><br>","3.0","Positivo"
"<div class='Normal'><strong>STORY: </strong>Based on the 2012 documentary with the same name, ‘Fighting with my Family’ is the true story of the World Wrestling Entertainment (WWE) star Saraya Knight. The film charts her journey from a small town in the UK to becoming a WWE celebrity, where she realises her true potential.<br><br> <strong>REVIEW: </strong>“Wrestling is like soap opera in Spandex.” This and many such quirky lines are a part of this film’s narrative based on a die-hard wrestler family from Norwich, England. The film opens and ends with wrestling, but you don’t have to be a fan to enjoy it. That’s because director Stephen Merchant never lets the sport take over the film’s emotional fabric. <br><br> Bound by strong performances, ‘Fighting with my Family’ is full of endearing moments between a family that eats together, fights together and lives together. Leading the pack is the film’s protagonist Florence Pugh, who plays the feisty Paige. Whether it’s the hardcore wrestling scenes or the emotional exchanges with her sibling, Pugh doesn’t miss a beat. She looks strong and vulnerable at the same time. Ditto for Jack Lowden, who lives the character of Zak with all honesty, reflecting his internal conflict and pain. But it is Vince Vaughn’s understated portrayal of coach Hutch Morgan that shines the brightest. Even the special appearance by ‘The Rock’, is well utilized with a quite an impactful entry scene. He gets some cool lines that enhance his larger than life screen presence. Rest of the cast performs well.<br><br> While there are clichés like the training montages, the sibling conflicts that get resolved conveniently and the underdog angle, there are also nuanced differentiators. For example, the former models competing with Paige are not stereotyped as dumb blondes. In fact, their roles are sensitively written and the confrontation scenes between the girls are amusing, inside and outside the wrestling ring. Film’s pace gets a bit sluggish in parts, but the oddball family dynamics come to the rescue. There is a constant flow of organic humour, seamlessly written into the characters.<br><br> For a film on wrestlers, there aren’t too many actual fight scenes, but as an entertainer, it delivers a knockout punch and wrestles its way to your heart.<br>","4.0","Positivo"
"<div class='Normal'><strong>Shazam! Story: </strong>Street-smart Billy Batson (Asher Angel) runs away from one foster home to the next, in search of his birth mother. Along the way, he encounters a mysterious wizard (Djimon Hounsou) who gives him the ability to transform into an adult with superpowers (Zachary Levi) by merely saying the word ‘Shazam’.<br><strong><br>Shazam! Review: </strong>From its opening frames, ‘Shazam!’ sets out to address the origin tale pitfalls inherent to the superhero genre. It quickly establishes a comical, yet sensitive tonality which allows the audience to get on-board with an otherwise outlandish premise. Director David F. Sandberg captures the imagination, enthusiasm, and pure glee of a little kid playing with his/ her toys. He maintains an irreverent and exuberant approach throughout. But that sentiment wouldn’t translate if it wasn’t conveyed so well by the cast. Under Sandberg’s direction, they give their characters the right amount of self-awareness without veering too far into camp.<br><br>This is especially applicable to Zachary Levi, whose playfulness as the title character never gets old. He’s able to portray a sincere, yet immature adolescent trying to take on the big, bad world and yet, doesn’t know his own limits as a superhero. It also becomes obvious that Billy Batson (Asher Angel) isn’t familiar with how a powered individual works, and that allows superhero nerd Freddy Freeman (Jack Dylan Grazer) to show him the ropes. Some of the best scenes include Shazam discovering his abilities with Freddy, and they’re a joy to behold. Family is the narrative thread that binds the film. Even the villain Dr Thaddeus Sivana (Mark Strong) is forged by how his father and brother treat him as a young boy. That, along with Billy’s search for his birth mother, and his inability to find a home he can fit into, is where the plot finds its footing.<br><br>Despite this, the screenplay never falls prey to melodrama, and the usual genre tropes are acknowledged, then promptly downplayed. The stakes are relatively lower than what we’re used to, and yet crucial enough within this film. Even the action set-pieces don’t focus on fight choreography. Instead, those moments are used to further character development. It’s a risky move that does falter slightly towards the finish line, but that’s excused because everything else leading up to it is so much fun. Bolstered by Zachary Levi’s undeniable charm, ‘Shazam!’ embodies the child-like wonder associated with superhero/ comic movies. In a welcome change of pace, it is undoubtedly the lightest and most entertaining entry into the DC roster.<br><br>","4.0","Positivo"
"<div class='Normal'><strong>Five Feet Apart Story: </strong>Two young patients with cystic fibrosis fall in love with each other despite being forced to stay apart due to their illness. <br><br><strong>Five Feet Apart Review: </strong>Both Stella Grant (Haley Lu Richardson) and Will Newman (Cole Sprouse) suffer from the genetic disorder and life-threatening incurable illness cystic fibrosis (CF), which affects their lungs. Stella tries to battle her illness using social media to educate people on how it affects patients. She’s also extremely mindful about her medical regimen, by keeping track and organizing her pills using an app that she made. On the other hand, Will throws caution to the wind as he believes they are living on borrowed time, and prefers to make the most of their short lives. CF patients need to be kept 6 feet apart as they suffer the risk of contracting infections. This becomes a big hindrance when Stella and Will fall in love with each other. <br><br> If the very notion of this plot makes you go weak in your knees, then this film is definitely for you. Falling firmly within the ‘tragic romance’ genre, ‘Five Feet Apart’ follows the typical clichés one would expect from this by-the-numbers setup. Chances are that tears will also be shed along the way. But it has a few surprises as well. For one, Haley Lu Richardson displays an impressive range and depth in her performance. This allows us to become engrossed with Stella Grant’s coping mechanisms while celebrating her small victories. Stella’s arc anchors the narrative down, especially when the screenplay feels stretched out. As soon as Stella meets Will, you know they’re going to fall for each other, but the plot takes its time to get there. Cole Sprouse as Will is also charming and effective. But it doesn’t help that he’s tasked with clunky dialogue particularly in a pivotal scene during the climax that makes him comes across quite cheesy. <br><br> The film seems to be a genuine attempt to illustrate how CF patients deal with relationships along with their multiple restrictions. Stella’s friendship with Poe (Moises Arias) is often far more intriguing as it is devoid of romantic chemistry. Nurse Barb (Kimberly Hebert Gregory) and her concern for these patients also demonstrate some of the challenges faced by caretakers, and the effect it has on them. Despite a run-time that director Justin Baldoni could have easily trimmed down to a crisper version, ‘Five Feet Apart’ manages to be engaging due to its performances, and is more than likely to pull on heartstrings in some unexpected places. <br><br>","3.5","Positivo"
"<div class='Normal'><strong>Story</strong><strong>: </strong>Inspired from the 1941 classic Walt Disney animation film with the same name, 'Dumbo' is about an endearing baby elephant, who literally finds wings to fly, when he flaps his unusually large ears. The film charts Dumbo’s journey in the quest to find his mother, as he becomes the star attraction of a struggling circus.<br><br><strong>Review</strong><strong>: </strong>“Wonder elephant soars to fame,” reads the headline of a newspaper that publishes the story of a flying elephant gliding across the circus tent. That is one of the most exhilarating visuals, which is bound to stay with you much after the film is over. Director Tim Burton’s mastery in creating visual fantasies is once again at display in this simplistic film about emotions that are universal. Set in 1919, every frame of the film captures the essence of what it tries to convey. Burton and his screenplay writer Ehren Kruger stick to the staple Disney tricks in telling a simple yet effective tale that has already been told before. Thankfully, the director manages to get the right amount of restrain from most of his actors. <br><br>As a former circus star and a World War I veteran, Colin Farrell is convincing as Holt Farrier. He brings in the vulnerability of a single parent and a circus star, who is reduced to training the elephants after losing an arm in the war. Veteran actor Danny DeVito (Max Medici) goes a little over-the-top at times, but as the boisterous ringmaster and an owner of a struggling circus, he is allowed to do so. Eva Green sets many a hearts racing with her beauty and grace as the French trapeze artist Colette Marchant. Burton also manages to establish the connection between Dumbo and the two children, who mirror the loss of their own mother, when Dumbo is separated from his. Micheal Keaton in his caricature bad guy act looks menacing and funny, both at the same time..<br><br>But the film’s A game clearly lies in its protagonist. The novelty of Dumbo’s flying act doesn’t wear off even when the act itself becomes repetitive. Every time the pachyderm flies, it takes you along with it. The scenes involving the mother elephant are emotionally stirring and will strike a chord with the audience. Film’s visual scale towers above many of its obvious flaws, but doesn’t quite lift it above Burton’s legacy of creating magical realism in the past. While there are problems such as predictability, caricature characters and a sluggish pace, 'Dumbo' has its moments. Overall, it’s a harmless family entertainer for children of all ages.<br>","3.5","Positivo"
